CPU/Processor,Ratings,Price,Model No,Link,Brand,Desktop_Type,Processor_Series,Processor_Model,Socket,Cores,Operating_Frequency,Threads,Max Turbo Frequency,Cpu/Processor,Processor_Type,no_of_tread
,(135),£248.39 –,Model #: BX8071512700KF,https://www.newegg.com/global/uk-en/intel-core-i7-12700kf-core-i7-12th-gen/p/N82E16819118345,Intel,,Core i7 12th Gen,Core i7-12700KF,LGA 1700,12-Core (8P+4E),P-core Base Frequency: 3.6 GHzE-core Base Frequency: 2.7 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.0 GHzSingle P-core Turbo Frequency: Up to 4.9 GHzSingle E-core Turbo Frequency: Up to 3.8 GHz,Intel Core i7-12700KF - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Desktop Processor - BX8071512700KF,Desktop,20-Threads
,(880),£290.39 –,Model #: BX8071513600K,https://www.newegg.com/global/uk-en/intel-core-i5-13600k-core-i5-13th-gen/p/N82E16819118416,Intel,,Core i5 13th Gen,Core i5-13600K,LGA 1700,14-Core (6P+8E),3.5 GHz,,,Intel Core i5-13600K - Core i5 13th Gen Raptor Lake 14-Core (6P+8E) 3.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513600K,Desktop,20-Threads
,(880),£497.99 –,Model #: BX8071513900K,https://www.newegg.com/global/uk-en/intel-core-i9-13900k-core-i9-13th-gen/p/N82E16819118412,Intel,,Core i9 13th Gen,Core i9-13900K,LGA 1700,24-Core (8P+16E),P-core Base Frequency: 3.0 GHzE-core Base Frequency: 2.2 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.7 GHzSingle P-core Turbo Frequency: Up to 5.4 GHzSingle E-core Turbo Frequency: Up to 4.3 GHz,Intel Core i9-13900K - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) P-core Base Frequency: 3.0 GHz E-core Base Frequency: 2.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513900,Desktop,32-Threads
,(30),£388.79 –,Model #: BX8071514700KF,https://www.newegg.com/global/uk-en/intel-core-i7-14700k-core-i7-14th-gen/p/N82E16819118468,Intel,,Efficient-core (E-core),Performance Hybrid Architecture1,LGA 1700,20-Core (8P+12E),Performance-core Base Frequency: 3.4 GHzEfficient-core Base Frequency: 2.5 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.6 GHzP-core Max Turbo Frequency: Up to 5.5 GHzE-core Max Turbo Frequency: Up to 4.3 GHz,Intel Core i7-14700KF - Core i7 14th Gen 20-Core (8P+12E) LGA 1700 125W None Integrated Graphics Desktop Processor - Boxed - BX8071514700KF,Performance-core (P-core),28-Threads
,(80),£81.59 –,Model #: 100-100000644BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-4500-ryzen-5-4000/p/N82E16819113738,AMD,,Ryzen 5 4000 Series,Ryzen 5 4500,Socket AM4,6-Core,3.6 GHz,,4.1 GHz,AMD Ryzen 5 4500 - Ryzen 5 4000 Series 6-Core 3.6 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000644BOX,Desktop,12-Threads
,(641),£397.19 –,Model #: 100-100000589WOF,https://www.newegg.com/global/uk-en/amd-ryzen-9-7900x-ryzen-9-7000-series/p/N82E16819113769,AMD,,Ryzen 9 7000 Series,Ryzen 9 7900X,Socket AM5,12-Core,4.7 GHz,,Up to 5.6 GHz,AMD Ryzen 9 7900X - 12-Core 4.7 GHz - Socket AM5 - 170W Desktop Processor (100-100000589WOF),Desktop,24-Threads
,(190),£130.79 –,Model #: BX8071512400F,https://www.newegg.com/global/uk-en/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118360,Intel,,Core i5 12th Gen,Core i5-12400F,LGA 1700,6-Core,2.5 GHz,,4.4 GHz,Intel Core i5-12400F - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Desktop Processor - BX8071512400F,Desktop,12-Threads
,(641),£295.19 –,Model #: 100-100000591WOF,https://www.newegg.com/global/uk-en/amd-ryzen-7-7700x-ryzen-7-7000-series/p/N82E16819113768,AMD,,Ryzen 7 7000 Series,Ryzen 7 7700X,Socket AM5,8-Core,4.5 GHz,,Up to 5.4 GHz,AMD Ryzen 7 7700X - 8-Core 4.5 GHz - Socket AM5 - 105W Desktop Processor (100-100000591WOF),Desktop,16-Threads
,(880),£365.99 –,Model #: BX8071513700K,https://www.newegg.com/global/uk-en/intel-core-i7-13700k-core-i7-13th-gen/p/N82E16819118414,Intel,,Core i7 13th Gen,Core i7-13700K,LGA 1700,16-Core (8P+8E),P-core Base Frequency: 3.4 GHzE-core Base Frequency: 2.5 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.4 GHzSingle P-core Turbo Frequency: Up to 5.3 GHzSingle E-core Turbo Frequency: Up to 4.2 GHz,Intel Core i7-13700K - Core i7 13th Gen Raptor Lake 16-Core (8P+8E) P-core Base Frequency: 3.4 GHz E-core Base Frequency: 2.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513700K,Desktop,24-Threads
,(880),£255.59 –,Model #: BX8071513600KF,https://www.newegg.com/global/uk-en/intel-core-i5-13600kf-core-i5-13th-gen/p/N82E16819118417,,,,,,,,,,Intel Core i5-13600KF - Core i5 13th Gen Raptor Lake 14-Core (6P+8E) 3.5 GHz LGA 1700 125W None Integrated Graphics Desktop Processor - BX8071513600KF,,
,(98),£163.19 –,Model #: BX8071512600KF,https://www.newegg.com/global/uk-en/intel-core-i5-12600kf-core-i5-12th-gen/p/N82E16819118349,Intel,,Core i5 12th Gen,Core i5-12600KF,LGA 1700,10-Core (6P+4E),P-core Base Frequency: 3.7 GHzE-core Base Frequency: 2.8 GHz,,Single P-core Turbo Frequency: Up to 4.9 GHzSingle E-core Turbo Frequency: Up to 3.6 GHz,Intel Core i5-12600KF - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Desktop Processor - BX8071512600KF,Desktop,16-Threads
,(188),£93.59 –,Model #: 100-100000457BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-5500-ryzen-5-5000-series/p/N82E16819113737,AMD,,Ryzen 5 5000 Series,Ryzen 5 5500,Socket AM4,6-Core,3.6 GHz,,4.2 GHz,AMD Ryzen 5 5500 - Ryzen 5 5000 Series 6-Core 3.6 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000457BOX,Desktop,12-Threads
